Image;Label
/root/CEF-SsL-MCC/benign_dataset/train/Other/000dcfb8-da88-4eb1-825e-2b46885ce790--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/006b08e2-40ed-4112-a519-db425e852ced--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/00ca2ee1-9124-410d-989e-1697d00d60a9--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/00ccc0c5-16ce-4c2f-b3ad-3c8807060608--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/00d2fb36-ae1a-4f74-b117-f1195543e321--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/00da1931-3d5a-445b-9f97-5e61faef6653--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/01c96748-d6b0-495d-ae7b-af88e0e8542b--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/02a63cda-44d7-4e25-b45f-ef24561d6ad2--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/02ace2fc-84a1-4d62-8835-39aa451e15f3--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/02bbf898-686d-4cb4-80e6-e7c3f727e091--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/02ca9453-f636-4bb2-b9a4-dc856e74fcb6--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/02d428f1-37bd-4df6-8e00-9c413baad9d1--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/03b535b6-9100-4a4d-bc3d-5cf854af1a3e--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/03d5ff1b-299a-4349-9a75-7ad111eb3ab3--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/03ecf692-ff99-4471-91af-93d89828cf62--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/04c0565d-7897-45b9-ac20-ff01fa8fc082--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/04e42fe9-a564-42dc-b490-1aa41790dc97--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/04f3dfa8-894d-4cb3-823b-0b03a9c64eaa--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/05a33ac3-88f8-4853-91f4-3c170d8e9d62--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/05c1b6d9-d3c5-4e30-9d91-cf69f4b68e1d--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/05e41f81-bfa4-4c10-855d-c0fa1cad0d55--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/05e42957-8015-4f9a-834a-05b9a6fe43c0--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/06b1b61d-07b6-43cd-8caa-a7832e2f8aff--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/06b96cd9-1c23-4527-a75d-d68989bc4703--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/06cf69a8-e172-49ca-89a7-ccc511818683--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/06ddda2c-c052-4091-8662-2a9f7cdc6f74--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0a17a7f3-39bf-4935-acce-7c50dd6c1b82--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0a1c8cc5-793f-4b7d-b31b-414eee93b360--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0a2e9b0d-03a9-4a59-bd05-c486d6aacb14--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0a47b608-c61b-4300-9e98-54a56243e101--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0a9dd322-8587-4b46-8079-e0a741726339--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0aa6e055-94ac-4b76-a833-c6ceabe9a1b1--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0ac655a3-dd44-4753-8d15-c4c0dd46f340--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0acad586-1273-467f-93d9-7f6a9d2b04cd--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0ad0e852-2fe8-4ff9-93da-10a5689c67fa--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0ad90b34-0b40-4378-99c5-729e62802529--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0ada08c8-ec3e-4df2-9e90-90edfe01a8f0--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0ae5f6ff-0ae9-42db-8793-5e42adee6252--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0b0826c6-de5d-4627-8778-8f689713b175--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0b0b99a7-ed49-4ad2-820a-05aa18eedfb5--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0b1ddf6d-78c1-4456-909f-7595664259a5--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0b205d41-2e97-4f24-8ba4-39533644d42e--resized.png;Other
/root/CEF-SsL-MCC/benign_dataset/train/Other/0b555b8b-44d1-443d-aef0-ad6263bb133d--resized.png;Other
